 2.00000000E-03 -6.9603550E-02  5.5072377E-01  5.7958629E-03  0.0000000E+00 -6.9175023E+02  0.0000000E+00
 1.00020000E+01 -1.2511815E+02  6.9218778E+02 -1.9038365E-02  1.2536454E+02 -6.9175023E+02  0.0000000E+00
 2.00020000E+01 -1.4905945E+02  6.9148465E+02 -4.7465269E-02  1.5340669E+02 -6.9175023E+02  0.0000000E+00
 3.00020000E+01 -1.5704004E+02  6.9145290E+02 -4.9650107E-02  1.6161004E+02 -6.9175023E+02  0.0000000E+00
 4.00020000E+01 -1.6471086E+02  6.9137685E+02 -5.4320271E-02  1.6989036E+02 -6.9175023E+02  0.0000000E+00
 5.00020000E+01 -1.7189042E+02  6.9134338E+02 -6.9420093E-02  1.7820207E+02 -6.9175023E+02  0.0000000E+00
 6.00020000E+01 -1.8015443E+02  6.9123494E+02 -5.6348953E-02  1.8586848E+02 -6.9175023E+02  0.0000000E+00
 7.00020000E+01 -1.8693731E+02  6.9143254E+02 -5.9911261E-02  1.9277649E+02 -6.9175023E+02  0.0000000E+00
 8.00020000E+01 -1.9252342E+02  6.9152652E+02 -6.5973073E-02  1.9856246E+02 -6.9175023E+02  0.0000000E+00
 9.00020000E+01 -1.9720793E+02  6.9257703E+02 -2.1717678E-02  2.0273770E+02 -6.9175023E+02  0.0000000E+00
 1.00002000E+02 -2.0113579E+02  6.9159936E+02 -6.0915392E-02  2.0708460E+02 -6.9175023E+02  0.0000000E+00
 1.10002000E+02 -2.0525127E+02  6.9155149E+02 -5.6410704E-02  2.1084496E+02 -6.9175023E+02  0.0000000E+00
 1.20002000E+02 -2.0777978E+02  6.9172245E+02 -6.4215638E-02  2.1393541E+02 -6.9175023E+02  0.0000000E+00
 1.30002000E+02 -2.1021690E+02  6.9169057E+02 -6.6397614E-02  2.1662966E+02 -6.9175023E+02  0.0000000E+00
